"","month","day","year","t.minus","s.mean","s.SD","p.GT.5","p.GT.25","p.GT.1"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","08","01","2012",1,0.0182846740194341,2.86547163906825e-06,7.73036487322202e-05,0.000695732838589981,0.0312306740878169
"12","08","01","2012",2,0.025103733053962,4.00232916281732e-06,0.00015460729746444,0.00456091527520099,0.0649350649350649
"13","08","01","2012",3,0.0328047677822635,4.93762023001263e-06,0.000618429189857761,0.00858070500927644,0.109461966604824
"14","08","01","2012",4,0.0372733391589825,5.50797100182121e-06,0.000773036487322202,0.0127551020408163,0.133039579468151
"15","08","01","2012",5,0.0400371607224382,5.84181384903869e-06,0.000773036487322202,0.0171614100185529,0.147263450834879
"16","08","01","2012",6,0.0402000217944747,6.06368722430763e-06,0.000927643784786642,0.020717377860235,0.143939393939394
"17","08","01","2012",7,0.0441973985655692,6.57956695476005e-06,0.00139146567717996,0.0274427952999382,0.161641929499072
"18","08","01","2012",8,0.0465876675951126,6.99166906395928e-06,0.00208719851576994,0.0318491032776747,0.170377241805813
"19","08","01","2012",14,0.0784804444994864,1.03858549684623e-05,0.0125231910946197,0.102813852813853,0.287646876932591
"20","08","01","2012",30,0.0817015119879363,1.23914989296917e-05,0.0233457019171305,0.113481756338899,0.268243661100804
"21","08","02","2012",1,0.0184270162483003,2.8456485297138e-06,0,0.0011595547309833,0.0307668521954236
"22","08","02","2012",2,0.0291954843527182,4.26314691104977e-06,7.73036487322202e-05,0.00440630797773655,0.0907544836116265
"23","08","02","2012",3,0.0343064138738275,4.92365755947374e-06,0.000386518243661101,0.00749845392702536,0.120593692022263
"24","08","02","2012",4,0.0379545995125178,5.41900607830807e-06,0.000541125541125541,0.0126004947433519,0.137600494743352
"25","08","02","2012",5,0.0387862749773741,5.7446492000672e-06,0.000618429189857761,0.0174706246134818,0.138296227581942
"26","08","02","2012",6,0.0427343291718389,6.20941519235488e-06,0.00108225108225108,0.0230364873222016,0.155689548546691
"27","08","02","2012",7,0.0455411525860278,6.5637634041523e-06,0.00146876932591218,0.0273654916512059,0.169681508967223
"28","08","02","2012",8,0.0485714036159782,6.81735664354872e-06,0.00146876932591218,0.0325448361162647,0.189393939393939
