"","replicate","analysis","mean"
"1",1,"OO",0.200575765232144
"2",2,"OO",0.206722164954816
"3",3,"OO",0.202597652705593
"4",4,"OO",0.206323574944323
"5",5,"OO",0.206495305626856
"6",6,"OO",0.20220696032356
"7",7,"OO",0.20389690453927
"8",8,"OO",0.207956396102898
"9",9,"OO",0.209139645887405
"10",10,"OO",0.202433601237827
"11",1,"OO_lagged1",0.19998450168665
"12",1,"OO_lagged2",0.198562148914988
"13",1,"OO_lagged3",0.199115429389846
"14",1,"OO_lagged4",0.197917168256033
"15",1,"OO_lagged5",0.197822320159783
"16",1,"OO_lagged6",0.195810704890227
"17",1,"OO_lagged7",0.195130519737779
"18",1,"OO_lagged8",0.193960836104821
"19",1,"OO_lagged14",0.188065093295978
"20",1,"OO_lagged30",0.188271279538314
"21",2,"OO_lagged1",0.206167628671983
"22",2,"OO_lagged2",0.205507256154955
"23",2,"OO_lagged3",0.204769918601989
"24",2,"OO_lagged4",0.203697547590422
"25",2,"OO_lagged5",0.204896866882253
"26",2,"OO_lagged6",0.20564914877833
"27",2,"OO_lagged7",0.204053320303233
"28",2,"OO_lagged8",0.203583701425024
"29",2,"OO_lagged14",0.197796119738243
"30",2,"OO_lagged30",0.191725166800511
"31",3,"OO_lagged1",0.203981815162114
"32",3,"OO_lagged2",0.202050871653406
"33",3,"OO_lagged3",0.201744760617272
"34",3,"OO_lagged4",0.200927353183032
"35",3,"OO_lagged5",0.199783352545567
"36",3,"OO_lagged6",0.19845479988755
"37",3,"OO_lagged7",0.197768219001244
"38",3,"OO_lagged8",0.197769408179908
"39",3,"OO_lagged14",0.191808826009241
"40",3,"OO_lagged30",0.194346454414929
"41",4,"OO_lagged1",0.205841169605011
"42",4,"OO_lagged2",0.204932241466129
"43",4,"OO_lagged3",0.207298651187487
"44",4,"OO_lagged4",0.207455604899066
"45",4,"OO_lagged5",0.205590653685032
"46",4,"OO_lagged6",0.205308152194468
"47",4,"OO_lagged7",0.205042825804342
"48",4,"OO_lagged8",0.205469330212666
"49",4,"OO_lagged14",0.203018932843329
"50",4,"OO_lagged30",0.193651243043241
"51",5,"OO_lagged1",0.205155755172433
"52",5,"OO_lagged2",0.203686423540759
"53",5,"OO_lagged3",0.203549392687616
"54",5,"OO_lagged4",0.202337953890054
"55",5,"OO_lagged5",0.201886858515214
"56",5,"OO_lagged6",0.201328532508769
"57",5,"OO_lagged7",0.200956375951218
"58",5,"OO_lagged8",0.201575159831106
"59",5,"OO_lagged14",0.196390985868357
"60",5,"OO_lagged30",0.189445905587652
"61",6,"OO_lagged1",0.200925805647943
"62",6,"OO_lagged2",0.199586965959467
"63",6,"OO_lagged3",0.199973014198608
"64",6,"OO_lagged4",0.200761956820793
"65",6,"OO_lagged5",0.199347774004132
"66",6,"OO_lagged6",0.199398556220323
"67",6,"OO_lagged7",0.198953847417262
"68",6,"OO_lagged8",0.198105143780356
"69",6,"OO_lagged14",0.195361488857239
"70",6,"OO_lagged30",0.19328131755409
"71",7,"OO_lagged1",0.20193352978874
"72",7,"OO_lagged2",0.201609115036143
"73",7,"OO_lagged3",0.201233662147801
"74",7,"OO_lagged4",0.201370829883893
"75",7,"OO_lagged5",0.201030114695588
"76",7,"OO_lagged6",0.199988139055669
"77",7,"OO_lagged7",0.200437936364515
"78",7,"OO_lagged8",0.199128250425414
"79",7,"OO_lagged14",0.198358502768635
"80",7,"OO_lagged30",0.192881609841215
"81",8,"OO_lagged1",0.205689098025235
"82",8,"OO_lagged2",0.2053297674726
"83",8,"OO_lagged3",0.205811255761744
"84",8,"OO_lagged4",0.204625791359121
"85",8,"OO_lagged5",0.202998269193806
"86",8,"OO_lagged6",0.201359667493422
"87",8,"OO_lagged7",0.201819414762487
"88",8,"OO_lagged8",0.200674812822632
"89",8,"OO_lagged14",0.195596666743345
"90",8,"OO_lagged30",0.193070122279813
"91",9,"OO_lagged1",0.209361998303573
"92",9,"OO_lagged2",0.209077842620636
"93",9,"OO_lagged3",0.208515707488796
"94",9,"OO_lagged4",0.208016590598873
"95",9,"OO_lagged5",0.207605915913368
