,s.mean,s.SD,p.GT.5,p.GT.1,analysis,sensitivity,lable,,,,,accuracy rank,s.mean,s.SD,p.GT.1,p.GT.5
1,0.019476287,2.97E-06,0.035656948,4.128449995,OO,1,OO_1,,,,,1,OO (1 day lag),OO (1 day lag),OO (1 day lag),OO (1 day lag)
2,0.026328269,3.90E-06,0.082431457,6.980313337,OO,2,OO_2,,,,,2,OO (2 day lag),OO (2 day lag),OO (2 day lag),OO (2 day lag)
3,0.031359502,4.58E-06,0.13131244,9.304557699,OO,3,OO_3,,,,,3,OO (3 day lag),lagged_CHLA (1 day lag),lagged_EKE (1 day lag),OO (3 day lag)
4,0.035773253,5.16E-06,0.181506878,11.55733946,OO,4,OO_4,,,,,4,lagged_CHLA (1 day lag),lagged_EKE (1 day lag),lagged_SLA (1 day lag),OO_4
5,0.039200415,5.60E-06,0.240719355,13.15303178,OO,5,OO_5,,,,,5,lagged_EKE (1 day lag),lagged_YWIND (1 day lag),lagged_YWIND (1 day lag),OO_5
6,0.042272112,6.00E-06,0.305772994,14.54026038,OO,6,OO_6,,,,,6,OO_4,OO (3 day lag),lagged_CHLA (1 day lag),OO_6
7,0.045359963,6.38E-06,0.37041776,16.00054912,OO,7,OO_7,,,,,7,lagged_SLA (1 day lag),lagged_SST (1 day lag),lagged_SST (1 day lag),OO_7
8,0.047780245,6.69E-06,0.444898603,17.00003865,OO,8,OO_8,,,,,8,lagged_YWIND (1 day lag),lagged_SLA (1 day lag),lagged_EKE_7,OO_8
9,0.060582797,8.35E-06,1.015758741,21.40521228,OO,14,OO_14,,,,,9,OO_5,lagged_EKE_7,lagged_YWIND (3 day lag)0,OO (1 day lag)4
81,0.099558388,9.52E-06,1.245989549,38.41207929,LOO,SST_SD,LOO_SST_SD,,,,,10,lagged_SST (1 day lag),lagged_YWIND_7,lagged_YWIND (2 day lag)8,LOO_SST_SD
91,0.070119337,8.67E-06,1.679823851,24.38561758,LOO,ywind,LOO_ywind,,,,,,,,,
110,0.06949706,9.20E-06,2.290418913,22.58267859,LOO,CHLA,LOO_CHLA,,,,,,,,,
15,0.065510494,9.82E-06,2.495973984,19.33561405,lagged,SLA_21,lagged_SLA_21,,,,,,,,,
14,0.059355934,8.79E-06,2.528711301,16.31132929,lagged,SLA_14,lagged_SLA_14,,,,,,,,,
16,0.07008037,1.06E-05,2.590969274,21.29087755,lagged,SLA_28,lagged_SLA_28,,,,,,,,,
17,0.071421675,1.08E-05,2.65556192,21.72580136,lagged,SLA_30,lagged_SLA_30,,,,,,,,,
18,0.050541716,7.27E-06,2.671645229,11.73308555,lagged,SLA_7,lagged_SLA_7,,,,,,,,,
62,0.045524354,6.32E-06,2.79984477,11.34454392,lagged,CHLA_7,lagged_CHLA_7,,,,,,,,,
